Kennziffer;Raumeinheit;Aggregat;Krankenhausbetten;Ärzte je  Einwohner;Einwohner je Arzt;Hausärzte;Allgemeinärzte;Internisten;Kinderärzte;Apotheken;Entwicklung Krankenhausbetten
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"8,70";"19,3";"517,0";"6,3";"3,9";"1,6";"6,1";"32,0";"-2,5"
"08125";"Heilbronn";"Landkreis";"3,59";"10,8";"923,5";"5,9";"4,1";"0,4";"3,7";"21,4";"-5,4"
"08126";"Hohenlohekreis";"Landkreis";"2,56";"10,4";"960,3";"5,6";"4,0";"0,6";"3,8";"20,6";"0,0"
"08127";"Schwäbisch Hall";"Landkreis";"3,81";"11,5";"870,9";"6,3";"4,6";"0,6";"3,9";"19,6";"6,8"
"08128";"Main-Tauber-Kreis";"Landkreis";"8,21";"14,7";"681,4";"6,6";"5,1";"1,5";"5,2";"25,7";"-5,7"
"08135";"Heidenheim";"Landkreis";"4,08";"12,9";"776,5";"6,5";"4,6";"0,8";"4,9";"24,2";"0,0"
"08136";"Ostalbkreis";"Landkreis";"3,39";"12,1";"826,5";"6,0";"4,1";"0,8";"3,9";"23,7";"3,3"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"13,90";"23,8";"420,9";"8,0";"4,9";"2,4";"11,0";"42,0";"-3,5"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"8,87";"18,2";"548,2";"6,0";"3,6";"1,4";"7,0";"28,2";"-4,4"
"08215";"Karlsruhe";"Landkreis";"2,03";"11,6";"859,6";"5,7";"4,0";"0,8";"4,5";"26,9";"-16,6"
"08216";"Rastatt";"Landkreis";"2,59";"11,0";"909,9";"5,8";"4,2";"0,4";"4,6";"28,2";"6,1"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"18,85";"26,4";"378,8";"6,5";"5,0";"2,4";"8,9";"31,8";"0,4"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"7,82";"19,0";"527,4";"6,7";"3,8";"1,6";"8,3";"32,1";"-7,6"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"3,50";"11,2";"890,5";"5,7";"4,3";"0,8";"3,7";"25,8";"-3,5"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"2,76";"13,2";"755,2";"6,3";"4,6";"0,9";"6,0";"28,3";"1,4"
"08231";"Pforzheim, Stadt";"Landkreis";"9,59";"19,6";"511,5";"6,5";"4,3";"1,8";"5,5";"31,4";"2,2"
"08235";"Calw";"Landkreis";"7,94";"11,2";"889,4";"5,7";"4,7";"0,5";"3,6";"24,1";"3,9"
"08236";"Enzkreis";"Landkreis";"1,63";"10,7";"935,7";"5,6";"3,8";"0,5";"3,6";"23,7";"-8,3"
"08237";"Freudenstadt";"Landkreis";"4,10";"11,5";"870,0";"5,6";"4,7";"0,7";"4,3";"26,4";"0,0"
"08311";"Freiburg im Breisgau, Stadt";"krsfr. Stadt";"9,83";"27,2";"368,0";"8,5";"6,1";"2,0";"6,8";"31,4";"-6,4"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"5,11";"13,3";"754,0";"6,6";"5,3";"0,6";"5,6";"27,1";"18,2"
"08316";"Emmendingen";"Landkreis";"6,17";"13,5";"738,6";"6,4";"5,2";"0,8";"5,1";"27,3";"3,0"
"08317";"Ortenaukreis";"Landkreis";"5,38";"12,8";"778,7";"6,4";"4,7";"0,8";"4,1";"25,6";"2,6"
"08325";"Rottweil";"Landkreis";"6,00";"12,0";"831,5";"5,9";"4,5";"0,6";"3,5";"24,5";"1,8"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"6,15";"13,5";"738,5";"6,1";"3,4";"0,9";"4,9";"26,0";"3,7"
"08327";"Tuttlingen";"Landkreis";"2,61";"11,0";"905,2";"5,3";"3,9";"0,6";"3,3";"21,5";"-1,1"
"08335";"Konstanz";"Landkreis";"5,85";"15,2";"659,0";"6,5";"4,5";"1,0";"5,5";"24,6";"2,9"
"08336";"Lörrach";"Landkreis";"3,63";"12,0";"830,2";"6,2";"4,6";"0,6";"5,5";"25,4";"0,0"
"08337";"Waldshut";"Landkreis";"4,18";"11,1";"900,5";"5,3";"3,9";"0,8";"5,7";"26,4";"3,1"
"08415";"Reutlingen";"Landkreis";"4,32";"13,3";"752,0";"6,2";"4,9";"0,9";"5,0";"24,5";"3,5"
"08416";"Tübingen";"Landkreis";"8,53";"15,6";"639,5";"6,2";"4,5";"0,9";"4,4";"23,5";"1,1"
"08417";"Zollernalbkreis";"Landkreis";"2,92";"11,5";"871,2";"5,7";"4,1";"0,8";"4,0";"25,0";"-5,2"
"08421";"Ulm, Stadt";"krsfr. Stadt";"12,28";"24,0";"417,3";"6,8";"5,7";"2,4";"7,6";"28,7";"1,9"
"08425";"Alb-Donau-Kreis";"Landkreis";"2,16";"12,1";"828,2";"6,4";"5,5";"0,6";"4,1";"23,6";"0,0"
"08426";"Biberach";"Landkreis";"4,07";"11,8";"850,9";"6,1";"5,0";"0,7";"3,3";"19,7";"-13,7"
"08435";"Bodenseekreis";"Landkreis";"3,48";"15,3";"654,4";"6,7";"4,9";"0,9";"6,5";"28,4";"0,0"
"08436";"Ravensburg";"Landkreis";"6,13";"14,7";"682,6";"6,3";"4,9";"0,8";"5,6";"24,4";"-2,8"
"08437";"Sigmaringen";"Landkreis";"5,03";"11,4";"873,8";"6,1";"5,4";"0,9";"3,8";"25,3";"-3,5"
"09161";"Ingolstadt, Stadt";"krsfr. Stadt";"9,61";"18,9";"528,3";"6,4";"4,0";"1,7";"5,9";"22,9";"1,7"
"09162";"München, Stadt";"krsfr. Stadt";"7,67";"21,8";"458,6";"7,2";"3,7";"1,5";"6,2";"28,1";"-1,7"
"09163";"Rosenheim, Stadt";"krsfr. Stadt";"9,92";"29,8";"335,5";"7,6";"4,1";"3,0";"3,5";"33,3";"0,0"
"09171";"Altötting";"Landkreis";"5,32";"13,3";"750,6";"6,3";"3,2";"0,8";"2,0";"30,8";"1,7"
